month,firm_id,num_workers,price,wage,inventory
1,1001,1,25.38518389457154,1428.0,3.0
1,1002,1,25.22009250419587,1428.0,3.0
1,1003,1,25.10542837373077,1428.0,3.0
1,1004,1,25.172537859731637,1428.0,3.0
1,1005,1,25.377741965724272,1428.0,3.0
1,1006,1,25.08380019837623,1428.0,3.0
1,1007,1,25.150683564976852,1428.0,3.0
1,1008,1,25.376213926533087,1428.0,3.0
1,1009,1,25.189900397075377,1428.0,3.0
1,1010,1,25.23729479038203,1428.0,3.0
1,1011,1,25.435138867924863,1428.0,3.0
1,1012,1,25.463611263026703,1428.0,3.0
1,1013,1,25.0,1428.0,3.0
1,1014,1,25.341438155456895,1428.0,3.0
1,1015,1,25.45885607053076,1428.0,3.0
1,1016,1,25.47809182794481,1428.0,3.0
1,1017,1,25.0,1428.0,3.0
1,1018,1,25.167483703309024,1428.0,3.0
1,1019,1,25.049138394204316,1428.0,3.0
1,1020,1,25.0,1428.0,3.0
1,1021,1,25.374545455879705,1428.0,3.0
1,1022,1,25.2943621455524,1428.0,3.0
1,1023,1,25.168703301540457,1428.0,3.0
1,1024,1,25.08995832619544,1428.0,3.0
1,1025,1,25.0,1428.0,3.0
1,1026,1,25.00598070551175,1428.0,3.0
1,1027,1,25.051953642388803,1428.0,3.0
1,1028,1,25.109708162863743,1428.0,3.0
1,1029,1,25.096539765723204,1428.0,3.0
1,1030,1,25.0,1428.0,3.0
1,1031,1,25.0,1428.0,3.0
1,1032,1,25.475244479624127,1428.0,3.0
1,1033,1,25.35403755291475,1428.0,3.0
1,1034,1,25.42822041215258,1428.0,3.0
1,1035,1,25.0,1428.0,3.0
1,1036,1,25.0,1428.0,3.0
1,1037,1,25.448000815178624,1428.0,3.0
1,1038,1,25.12666786944333,1428.0,3.0
1,1039,1,25.46809102995587,1428.0,3.0
1,1040,1,25.461347695422347,1428.0,3.0
1,1041,1,25.0,1428.0,3.0
1,1042,1,25.38494025457695,1428.0,3.0
1,1043,1,25.08098301582311,1428.0,3.0
1,1044,1,25.388552975141955,1428.0,3.0
1,1045,1,25.16632736845299,1428.0,3.0
1,1046,1,25.47780284960866,1428.0,3.0
1,1047,1,25.22028741638883,1428.0,3.0
1,1048,1,25.464293149116145,1428.0,3.0
1,1049,1,25.08922108503239,1428.0,3.0
1,1050,1,25.0,1428.0,3.0
1,1051,1,25.109193249098833,1428.0,3.0
1,1052,1,25.456304611420567,1428.0,3.0
1,1053,1,25.051643557976412,1428.0,3.0
1,1054,1,25.285672279922462,1428.0,3.0
1,1055,1,25.0,1428.0,3.0
1,1056,1,25.07442713772083,1428.0,3.0
1,1057,1,25.466446861765668,1428.0,3.0
1,1058,1,25.133218240557635,1428.0,3.0
1,1059,1,25.452308771726972,1428.0,3.0
1,1060,1,25.0,1428.0,3.0
1,1061,1,25.24533972694777,1428.0,3.0
1,1062,1,25.0,1428.0,3.0
1,1063,1,25.392690852545574,1428.0,3.0
1,1064,1,25.0,1428.0,3.0
1,1065,1,25.408988329693038,1428.0,3.0
1,1066,1,25.0,1428.0,3.0
1,1067,1,25.179459163298606,1428.0,3.0
1,1068,1,25.200307399240117,1428.0,3.0
1,1069,1,25.479411943432222,1428.0,3.0
1,1070,1,25.0,1428.0,3.0
1,1071,1,25.040228392337195,1428.0,3.0
1,1072,1,25.383254044838093,1428.0,3.0
1,1073,1,25.088309152254745,1428.0,3.0
1,1074,1,25.192081837582343,1428.0,3.0
